Handle,Title,Vendor,Type,Collection,Tag,Price,Image
baccarat-rouge-540-reis-set,Baccarat Rouge 540 - reis set,Maison Francis Kurkdjian,eau de parfum,"the-ultimate-gifts-for-your-beloved-ones, parfums-voor-feestdagen, elegant-feminine-dandy, maison-francis-kurkdjian, parfums, geurfamilie-orientaals, eau-de-parfum, france, totaal-overzicht, geurfamilie-gourmand, amber, francis-kurkdjian-collection, baccarat-rouge-540-collectie, flexify","bodycare-available, Familie:gourmand, Familie:oriental, gourmand, ingr:amber, ingr:cederhout, ingr:jasmijn, longevity-middel, Merk:Maison Francis Kurkdjian, oriental, ProductBackground:background-gourmand-light, ProductBackground:background-oriental-light, Related:baccarat, Related:gourmand, Related:oriental, Soort:eau de parfum",57.50,https://cdn.shopify.com/s/files/1/1323/9877/products/Baccarat_Rouge_MFK_travel_set.jpg?v=1574848058
fallintostars,fallintostars,strangelove nyc,eau de parfum,"oudh, christophe-laudamiel, retro-cult-klassiekers, headturning-big-bold, pure-luxe, amber-collection, zonnig-warm-en-vol-amber-akkoord, ambernn, parfums, eau-de-parfum, usa-and-canada, strangelove-nyc, all-collections, totaal-overzicht, amber, flexify","amber, Familie:amber, ingr:amber, ingr:benzoine, ingr:bergamot, ingr:labdanum, ingr:narcis, ingr:oud, ingr:peper, ingr:roos, ingr:vanille, longevity-middel, Merk:strangelove nyc, ProductBackground:background-amber-med.png, Related:amber, Related:fallintostars, Related:strangelove, sillage-groot, Soort:eau de parfum",193.18,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600_strangelove_fallintostars_50ml_bottle.jpg?v=1575558950
silvestre,Silvestre,Bravanariz,eau de cologne,"spain, puur-natuur, groen-collection, parfums, bravanariz, all-collections, totaal-overzicht, neroli-collection, flexify","ingr:bergamot, ingr:lavendel, ingr:oranjebloesem, ingr:petitgrain, ingr:roos, longevity-kort, Merk:Bravanariz, met sample, Related:bravanariz, Soort:eau de cologne",20.45,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600_Bravanariz_Silvestre_bottle_200ml.jpg?v=1577701933
essais-pi,Essais PI,Bravanariz,eau de parfum,"spain, puur-natuur, parfums, eau-de-parfum, bravanariz, all-collections, totaal-overzicht, flexify","ingr:leer, longevity-middel, Merk:Bravanariz, Related:bravanariz, Soort:eau de parfum",43.18,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600_PI_bottle_Bravanariz_30ml.jpg?v=1578154421
essais-illa,Essais ILLA,Bravanariz,eau de parfum,"spain, puur-natuur, parfums, geurfamilie-aromatisch-kruidig, eau-de-parfum, bravanariz, totaal-overzicht, neroli-collection, flexify","aromatic, ingr:oranjebloesem, ingr:roos, longevity-middel, Merk:Bravanariz, Related:bravanariz, Soort:eau de parfum",43.18,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600_ILLA_Essais_Bravanariz_bottle_30ml.jpg?v=1578154350
essais-fum,Essais FUM,Bravanariz,eau de parfum,"spain, puur-natuur, parfums, geurfamilie-leer, eau-de-parfum, bravanariz, all-collections, totaal-overzicht, flexify","Familie:leather, leather, longevity-middel, Merk:Bravanariz, ProductBackground:background-leer-med, Related:leather, smokey, Soort:eau de parfum",43.18,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600_Fum_Essais_Bravanariz_bottle_30ml.jpg?v=1578154285
bulls-blood,Bull's Blood,Imaginary Authors,eau de parfum,"black-collection, parfumeur-josh-meyer, patchouli-collection, parfums, eau-de-parfum, usa-and-canada, imaginary-authors, all-collections, totaal-overzicht, patchouli, flexify","ingr:labdanum, ingr:musk, ingr:patchouli, ingr:roos, ingr:tabak, ingr:vijg, longevity-middel, Merk:Imaginary Authors, met sample, Related:ImaginaryAuthors, Soort:eau de parfum",45.00,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600_Bulls_Blood_IA_bottle_front.jpg?v=1576073769
anti-blues,Anti Blues,Pierre Guillaume - Confidentiel,eau de parfum,"omhullende-verwarmende-parfums, leer-collection, parfums, eau-de-parfum, france, all-collections, totaal-overzicht, geurfamilie-gourmand, pierre-guillaume-confidentiel, flexify, pierre-guillaume-collection","Familie:gourmand, gourmand, ingr:chocolade, ingr:leer, ingr:tabak, ingr:vanille, ingr:vetiver, ingr:wierook, longevity-middel, Merk:Pierre Guillaume - Confidentiel, met sample, Pierre Guillaume, ProductBackground:background-aquatic, ProductBackground:background-gourmand-light, Related:gourmand, Soort:eau de parfum",35.65,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600_PG_Anti-Blues-100.jpg?v=1576081470
noir-okoume,Noir Okoume,Pierre Guillaume - Confidentiel,eau de parfum,"sandelhout-collection, parfums, eau-de-parfum, france, all-collections, totaal-overzicht, pierre-guillaume-confidentiel, flexify, pierre-guillaume-collection","Familie:woody, ingr:iris, ingr:mirre, ingr:sandelhout, ingr:vijg, longevity-middel, Merk:Pierre Guillaume - Confidentiel, met sample, Pierre Guillaume, ProductBackground:background-gourmand-light, Soort:eau de parfum",35.65,https://cdn.shopify.com/s/files/1/1323/9877/products/631_600____2__noir-okoume-100-site_1037.jpg?v=1576761535
fou-d-ambre,Fou d Ambre,Nicolai Paris,geurkaars,"cadeaus-voor-moeder, klein-maar-fijn, vickys-favoriete-thuisblijf-parfums, phine-april-2020, zonnig-warm-en-vol-amber-akkoord, huisparfums-intiem-warm-en-geborgen, huisparfums-chique-en-stijlvol, huisparfums-romantisch-en-sensueel, huisparfums-kalmerend, huisparfums-zoet, geurkaarsen, huis-parfums, nicolai-paris, france, a-beautifully-scented-home-room-sprays-scented-candles, totaal-overzicht, patchouli, amber, patricia-de-nicolai-collection, flexify","Familie:amber, ingr:amber, ingr:cederhout, ingr:patchouli, ingr:peper, ingr:vanille, Merk:Nicolai Paris, ProductBackground:background-amber-med.png, Related:geurkaars, Soort:geurkaars",15.63,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600_Fou_d_Ambre_close.jpg?v=1576080038
